feature_name
num__ACCIDENT_HOUR
num__THRULANENO
num__NORTHBOUNDDISOBEYCOUNT
num__SOUTHBOUNDDISOBEYCOUNT
cat__ACCIDENT_WEEKDAY_Friday
cat__ACCIDENT_WEEKDAY_Monday
cat__ACCIDENT_WEEKDAY_Saturday
cat__ACCIDENT_WEEKDAY_Sunday
cat__ACCIDENT_WEEKDAY_Thursday
cat__ACCIDENT_WEEKDAY_Tuesday
cat__ACCIDENT_WEEKDAY_Wednesday
cat__ACCIDENTLOCATION_At intersection
cat__ACCIDENTLOCATION_At railway crossing
cat__ACCIDENTLOCATION_At/near private drive
cat__ACCIDENTLOCATION_Intersection related
cat__ACCIDENTLOCATION_Non intersection
cat__ACCIDENTLOCATION_Other
cat__ACCIDENTLOCATION_Overpass or bridge
cat__ACCIDENTLOCATION_Underpass or tunnel
cat__INITIALIMPACTTYPE_Angle
cat__INITIALIMPACTTYPE_Approaching
cat__INITIALIMPACTTYPE_Other
cat__INITIALIMPACTTYPE_Rear end
cat__INITIALIMPACTTYPE_SMV other
cat__INITIALIMPACTTYPE_SMV unattended vehicle
cat__INITIALIMPACTTYPE_Sideswipe
cat__INITIALIMPACTTYPE_Turning movement
cat__IMPACTLOCATION_Left shoulder
cat__IMPACTLOCATION_Left turn lane
cat__IMPACTLOCATION_Not on roadway - left side
cat__IMPACTLOCATION_Not on roadway - right side
cat__IMPACTLOCATION_Off highway
cat__IMPACTLOCATION_Other
cat__IMPACTLOCATION_Passing lane
cat__IMPACTLOCATION_Right shoulder
cat__IMPACTLOCATION_Right turn channel
cat__IMPACTLOCATION_Right turn lane
cat__IMPACTLOCATION_Thru lane
cat__IMPACTLOCATION_Two-way left turn lane
cat__IMPACTLOCATION_Within intersection
cat__LIGHT_Dark
"cat__LIGHT_Dark, artificial"
cat__LIGHT_Dawn
"cat__LIGHT_Dawn, artificial"
cat__LIGHT_Daylight
"cat__LIGHT_Daylight, artificial"
cat__LIGHT_Dusk
"cat__LIGHT_Dusk, artificial"
cat__LIGHT_Other
cat__LIGHT_Unknown
cat__ROADJURISDICTION_County or district
cat__ROADJURISDICTION_Municipal (excl. Twp. Rd.)
cat__ROADJURISDICTION_Private property
cat__ROADJURISDICTION_Regional municipality
cat__ROADJURISDICTION_Township
cat__ROADJURISDICTION_unknown
cat__TRAFFICCONTROL_No control
cat__TRAFFICCONTROL_Other
cat__TRAFFICCONTROL_Ped. crossover
cat__TRAFFICCONTROL_Police control
cat__TRAFFICCONTROL_School bus
cat__TRAFFICCONTROL_School guard
cat__TRAFFICCONTROL_Stop sign
cat__TRAFFICCONTROL_Traffic controller
cat__TRAFFICCONTROL_Traffic signal
cat__TRAFFICCONTROL_Yield sign
cat__TRAFFICCONTROL_unknown
cat__TRAFFICCONTROLCONDITION_Functioning
cat__TRAFFICCONTROLCONDITION_Missing/Damaged
cat__TRAFFICCONTROLCONDITION_Not applicable
cat__TRAFFICCONTROLCONDITION_Not functioning
cat__TRAFFICCONTROLCONDITION_Obscured
cat__TRAFFICCONTROLCONDITION_unknown
cat__ENVIRONMENTCONDITION1_Clear
cat__ENVIRONMENTCONDITION1_Drifting Snow
"cat__ENVIRONMENTCONDITION1_Fog, mist, smoke, dust"
cat__ENVIRONMENTCONDITION1_Freezing Rain
cat__ENVIRONMENTCONDITION1_Other
cat__ENVIRONMENTCONDITION1_Rain
cat__ENVIRONMENTCONDITION1_Snow
cat__ENVIRONMENTCONDITION1_Strong wind
cat__PEDESTRIANINVOLVED_no
cat__PEDESTRIANINVOLVED_yes
cat__CYCLISTINVOLVED_no
cat__CYCLISTINVOLVED_yes
cat__MOTORCYCLISTINVOLVED_no
cat__MOTORCYCLISTINVOLVED_yes
cat__VULNERABLE_USER_INVOLVED_no
cat__VULNERABLE_USER_INVOLVED_yes
